order_id,created_at,amount,status
ORD_STD_0001,2026-08-20 12:01:00,11689.97,SUCCESS
ORD_STD_0002,2026-08-20 14:08:00,4785.61,SUCCESS
ORD_STD_0003,2026-08-20 16:34:00,12342.24,SUCCESS
ORD_STD_0004,2026-08-20 18:05:00,1056.2,SUCCESS
ORD_STD_0005,2026-08-20 20:01:00,9343.72,SUCCESS
ORD_STD_0006,2026-08-20 22:44:00,13030.34,SUCCESS
ORD_STD_0007,2026-08-21 00:37:00,4357.71,SUCCESS
ORD_STD_0008,2026-08-21 02:10:00,13779.13,SUCCESS
ORD_STD_0009,2026-08-21 04:09:00,6454.38,SUCCESS
ORD_STD_0010,2026-08-21 06:24:00,2288.68,SUCCESS
ORD_STD_0011,2026-08-21 08:38:00,15331.15,SUCCESS
ORD_STD_0012,2026-08-21 10:34:00,13270.31,SUCCESS
ORD_STD_0013,2026-08-21 12:18:00,1879.0,SUCCESS
ORD_STD_0014,2026-08-21 14:45:00,10603.66,SUCCESS
ORD_STD_0015,2026-08-21 16:49:00,12072.11,SUCCESS
ORD_STD_0016,2026-08-21 18:06:00,15468.06,SUCCESS
ORD_STD_0017,2026-08-21 20:23:00,8434.68,SUCCESS
ORD_STD_0018,2026-08-21 22:42:00,6717.24,SUCCESS
ORD_STD_0019,2026-08-22 00:10:00,11159.79,SUCCESS
ORD_STD_0020,2026-08-22 02:24:00,3359.54,SUCCESS
ORD_STD_0021,2026-08-22 04:20:00,4343.27,SUCCESS
ORD_STD_0022,2026-08-22 06:02:00,4508.34,SUCCESS
ORD_STD_0023,2026-08-22 08:04:00,7520.38,SUCCESS
ORD_STD_0024,2026-08-22 10:31:00,4220.96,SUCCESS
ORD_STD_0025,2026-08-22 12:08:00,3000.25,SUCCESS
ORD_STD_0026,2026-08-22 14:47:00,9932.1,SUCCESS
ORD_STD_0027,2026-08-22 16:25:00,16211.9,SUCCESS
ORD_STD_0028,2026-08-22 18:08:00,17953.2,SUCCESS
ORD_STD_0029,2026-08-22 20:03:00,2090.91,SUCCESS
ORD_STD_0030,2026-08-22 22:50:00,11480.31,SUCCESS
ORD_STD_0031,2026-08-23 00:24:00,10937.16,SUCCESS
